declaration_id,hazard_category_override,review_note,source_url
NY-KATHYHOCHUL-EO-62,exclude,Establishes a temporary moratorium on data center development; not a weather emergency,https://www.governor.ny.gov/executiveorders
NY-KATHYHOCHUL-EO-9,"flood,wind","CORRECTED: confirmed via direct fetch of EO-9's own text (governor.ny.gov) - 'prolonged heavy rainfall... high winds causing power outages, downed trees, localized flash flooding.' No mention of Hurricane Ida or any tropical system; the earlier 'tropical' classification was based on circumstantial timing/geography only, not the order's own text, and was wrong",https://www.governor.ny.gov/executive-order/no-9-declaring-disaster-counties-bronx-broome-chenango-delaware-greene-kings
NY-KATHYHOCHUL-EO-37,"severe_storm,wind,flood","Narrowed from storm_general: confirmed via EO-37.3's text - 'tornadic activity, damaging straight-line winds, heavy rainfall, and flash flooding' (July 2024)",https://www.governor.ny.gov/executive-order/no-373-declaration-disaster-emergency-state-new-york
NY-KATHYHOCHUL-EO-38,"tropical,flood",Confirmed remnants of Tropical Storm Debby causing heavy rain and flash flooding (Aug 2024) via EO-38's own text,https://www.governor.ny.gov/executive-order/no-38-declaring-disaster-emergency-state-new-york
NY-KATHYHOCHUL-EO-39,flood,"Confirmed record rainfall (nearly 10 inches, a 1-in-1000-year event) and flash flooding in Suffolk County (Aug 2024) via EO-39's own text",https://www.governor.ny.gov/executive-order/no-39-declaring-disaster-emergency-county-suffolk
NY-KATHYHOCHUL-EO-42,winter,"Confirmed severe storm system producing significant snow, strong winds and freezing temperatures (Nov 2024, western NY lake-effect event) via EO-42's own text",https://www.governor.ny.gov/executive-order/no-42-declaring-disaster-emergency-allegany-erie-cattaraugus-chautauqua-genesee
NY-KATHYHOCHUL-EO-43,winter,"Confirmed severe storm system producing significant snow, strong winds and freezing temperatures (Dec 2024, western NY lake-effect event) via EO-43's own text",https://www.governor.ny.gov/executive-order/no-43-declaring-disaster-emergency-counties-cattaraugus-chautauqua-erie-franklin
NY-KATHYHOCHUL-EO-44,winter,Confirmed lake-effect snowstorm and dangerously cold temperatures (Jan 2025) via governor's press release,https://www.governor.ny.gov/news/governor-hochul-declares-state-emergency-counties-impacted-lake-effect-snow-storm
NY-KATHYHOCHUL-EO-45,winter,Confirmed statewide winter storm requiring emergency salt deliveries (Feb 2025) via governor's press release,https://www.governor.ny.gov/news/governor-hochul-updates-new-yorkers-winter-storms-expected-impact-state-through-sunday
NY-KATHYHOCHUL-EO-53,"flood,wind","Narrowed from storm_general: confirmed via EO-53's own text - 'high winds, rain and flooding' (Oct 2025 coastal storm)",https://www.governor.ny.gov/executive-order/no-53-declaring-disaster-emergency-counties-bronx-kings-nassau-new-york-queens
NY-KATHYHOCHUL-EO-55,winter,"Confirmed winter storm with significant snow, strong winds and freezing temperatures (Dec 26 2025) via EO-55's own text",https://www.governor.ny.gov/executive-order/no-55-declaring-disaster-emergency-counties-albany-bronx-broome-cayuga-chenango
NY-KATHYHOCHUL-EO-57,winter,Confirmed extreme temperatures and winter storm with heavy snow/high winds (Jan 23 2026) via EO-57's own text,https://www.governor.ny.gov/executive-order/no-57-declaring-disaster-emergency-throughout-state-new-york
NY-KATHYHOCHUL-EO-58,"winter,flood","Expanded from winter alone: confirmed via EO-58's own text - 'heavy snowfall, high winds, blowing and drifting snow, AND coastal flooding' (Feb 2026 nor'easter, Winter Storm Hernando) - the flood component is real and was missing from the original classification",https://www.governor.ny.gov/executive-order/no-58-declaring-disaster-emergency-counties-albany-bronx-columbia-greene-delaware
